X,Z,Success?,Stair_Floor1,Stair_Floor2,Water_height,StairObstacle1,StairObstacle2,StairObstacle3
-15.5,-1,S,1,1,2.8,4,8,3
-15,-1,F,3,1,-8.4,2,8,6
-14.5,-1,F,3,1,-7.4,5,6,4
-14,-1,N,3,1,-10,1,4,7
-13.5,-1,N,3,1,-10,5,7,2
-13,-1,S,4,4,-3,3,5,1
-12.5,-1,F,4,4,-4.5,8,5,3
-12,-1,F,3,4,-1.4,1,8,7
-11.5,-1,S,4,4,-2.9,3,2,1
-11,-1,S,3,3,-3,5,4,8
-10.5,-1,F,4,4,-7.6,3,5,2
-10,-1,S,4,1,0.9,8,3,7
-9.5,-1,S,3,3,-3.1,1,5,4
-9,-1,S,1,1,-3.1,4,8,3
-8.5,-1,S,3,3,-2.6,5,1,6
-8,-1,S,3,3,-2.7,4,2,5
-7.5,-1,S,1,1,-3.5,8,2,3
-7,-1,F,3,1,-8.1,1,5,8
-6.5,-1,S,4,3,-3,3,1,8
-6,-1,S,1,2,-3.3,7,4,2
-5.5,-1,S,3,4,-2.6,7,6,1
-5,-1,S,3,4,-1.1,6,5,7
-4.5,-1,F,1,4,-9,8,5,7
-4,-1,S,3,3,-2.5,2,8,5
-3.5,-1,S,3,3,-3,2,1,6
-3,-1,S,2,1,-0.5,4,1,6
-2.5,-1,S,1,2,-3.1,7,5,2
-2,-1,S,3,4,-2.5,6,1,4
-1.5,-1,S,1,1,-3.3,6,7,4
-1,-1,F,1,1,-8.9,2,6,7
-0.5,-1,N,1,1,-10,4,1,2
0,-1,S,2,2,-3.7,8,1,4
0.5,-1,S,1,4,2.3,3,5,6
1,-1,S,1,2,-3.5,2,8,3
1.5,-1,S,1,3,-1.6,6,5,4
2,-1,S,1,2,-2.6,4,8,5
2.5,-1,F,1,2,-5.2,3,2,4
3,-1,N,1,2,-10,8,2,7
3.5,-1,S,1,1,-3.7,2,7,3
4,-1,S,1,1,-3.7,7,6,3
4.5,-1,S,2,1,-2.8,1,4,7
5,-1,S,3,3,1.4,5,2,1
5.5,-1,S,3,3,-3.1,8,5,1
6,-1,S,1,1,-3,2,8,6
6.5,-1,S,1,4,-0.2,6,7,5
7,-1,F,1,4,-4.8,1,3,7
7.5,-1,N,1,4,-10,2,8,5
8,-1,S,1,1,-1.4,7,3,2
8.5,-1,F,3,1,-8,6,1,8
9,-1,S,2,2,1.9,8,5,1
9.5,-1,S,1,2,-0.1,7,3,8
10,-1,S,1,1,-1.6,3,8,4
10.5,-1,S,1,1,-2.2,6,3,7
11,-1,S,2,2,3.4,4,7,1
11.5,-1,F,1,2,-3.1,8,4,5
12,-1,S,1,1,2.3,7,4,3
12.5,-1,S,2,2,-2.7,1,5,4
13,-1,S,1,1,-3,2,8,6
13.5,-1,S,1,3,4.9,6,8,5
14,-1,S,4,4,5.2,1,2,3
14.5,-1,S,1,1,-2.4,8,4,3
15,-1,S,1,1,-2.6,6,4,3
15.5,-1,S,1,1,-3,3,6,4
16,-1,S,2,2,3.5,3,8,1
16.5,-1,S,2,2,-3,8,1,3
17,-1,S,1,1,-3,8,4,2
17.5,-1,F,1,1,-8.9,1,4,3
18,-1,F,1,1,-8.6,1,2,4
18.5,-1,S,1,4,4.9,5,7,6
19,-1,S,3,4,-1,5,1,2
19.5,-1,F,2,4,-8.1,6,3,1
-19.5,-0.5,F,2,4,-8.4,7,6,4
-19,-0.5,N,2,4,-10,8,4,7
-18.5,-0.5,F,2,4,-7.3,5,1,8
-18,-0.5,F,2,4,-8,1,4,6
-17.5,-0.5,N,2,4,-10,1,4,6
-17,-0.5,S,4,4,-2.7,2,5,7
-16.5,-0.5,S,3,3,-1.4,6,4,5
-16,-0.5,F,3,3,-3.1,4,3,1
-15.5,-0.5,S,3,3,-2.4,5,1,6
-15,-0.5,S,4,4,-2.1,7,3,5
-14.5,-0.5,S,3,4,-2.1,2,7,5
-14,-0.5,S,4,4,-2.7,3,5,7
-13.5,-0.5,S,3,3,-2.5,4,2,8
-13,-0.5,S,4,4,-3.2,3,7,2
-12.5,-0.5,F,4,4,-8.6,3,5,1
-12,-0.5,N,4,4,-10,7,3,1
-11.5,-0.5,S,4,4,-2.8,7,5,3
-11,-0.5,F,4,4,-8.6,3,5,1
-10.5,-0.5,N,4,4,-10,7,1,2
-10,-0.5,S,1,2,-2.5,8,5,7
-9.5,-0.5,S,3,3,1.6,6,1,4
-9,-0.5,F,4,3,-5,3,5,8
-8.5,-0.5,S,4,4,-2.9,3,7,1
-8,-0.5,F,4,4,1.5,4,1,3
-7.5,-0.5,S,3,4,-2.4,6,1,7
-7,-0.5,S,1,2,-2.7,3,7,4
-6.5,-0.5,S,3,3,-2.9,2,1,8
-6,-0.5,S,3,3,-3.3,2,8,4
-5.5,-0.5,S,1,1,-3.5,8,2,3
-5,-0.5,F,3,1,-6.1,6,8,1
-4.5,-0.5,S,1,4,-0.8,6,3,5
-4,-0.5,S,1,1,-3.5,8,3,7
-3.5,-0.5,S,1,1,-3.6,6,3,4
-3,-0.5,S,4,4,-3.1,7,3,2
-2.5,-0.5,S,3,3,-2.8,1,4,2
-2,-0.5,S,1,2,-3.4,2,7,3
-1.5,-0.5,S,1,2,-2.3,3,5,8
-1,-0.5,F,2,2,-7.3,5,1,7
-0.5,-0.5,S,4,4,-3,1,2,7
0,-0.5,S,3,4,-0.2,7,1,6
0.5,-0.5,S,2,2,-2,8,3,1
1,-0.5,F,2,2,-8.7,3,1,8
1.5,-0.5,N,2,2,-10,5,8,1
2,-0.5,F,2,2,-0.8,1,4,2
2.5,-0.5,N,2,2,-10,6,7,5
3,-0.5,S,1,1,-3.1,4,2,6
3.5,-0.5,S,2,2,-2.6,5,4,1
4,-0.5,S,1,1,-3.6,3,6,7
4.5,-0.5,S,2,2,6.1,4,5,1
5,-0.5,S,1,4,-2,5,6,2
5.5,-0.5,F,2,1,-5.2,6,4,1
6,-0.5,S,1,1,-3.5,2,8,6
6.5,-0.5,S,1,2,-3.5,3,8,5
7,-0.5,S,3,4,1.2,1,7,6
7.5,-0.5,S,1,2,-3,8,5,4
8,-0.5,F,2,3,0.8,6,5,1
8.5,-0.5,S,1,1,-2.4,2,8,4
9,-0.5,F,2,1,-8.9,8,3,1
9.5,-0.5,S,2,2,-0.1,7,8,1
10,-0.5,S,1,2,-2.4,7,3,2
10.5,-0.5,S,1,1,-2.9,7,4,8
11,-0.5,S,1,3,9.5,8,5,6
11.5,-0.5,F,1,3,-8.7,2,4,5
12,-0.5,S,2,2,-3.1,7,4,1
12.5,-0.5,S,1,1,-2.6,7,8,4
13,-0.5,S,1,1,-3.1,2,8,4
13.5,-0.5,S,1,2,-1.7,8,4,7
14,-0.5,F,1,2,-7.9,8,2,3
14.5,-0.5,N,1,2,-10,1,5,8
15,-0.5,N,1,2,-10,8,5,3
15.5,-0.5,S,1,1,-2.6,7,2,8
16,-0.5,S,2,1,-2.9,1,6,4
16.5,-0.5,S,1,1,-2.8,6,7,2
17,-0.5,F,1,1,-8.7,5,2,7
17.5,-0.5,N,1,1,-10,5,8,2
18,-0.5,S,1,2,-2.2,2,3,7
18.5,-0.5,S,3,3,0,1,5,2
19,-0.5,F,3,3,-6.8,7,1,4
19.5,-0.5,F,3,3,-8.7,7,3,4
-19.5,0,N,3,3,-10,2,6,5
-19,0,N,3,3,-10,3,7,6
-18.5,0,N,3,3,-10,2,8,3
-18,0,S,3,4,-1.4,1,4,7
-17.5,0,F,3,4,-8.8,3,5,1
-17,0,S,3,4,-2.3,5,7,1
-16.5,0,S,3,4,1.2,4,7,1
-16,0,S,3,3,-0.8,4,8,5
-15.5,0,S,3,3,-2.4,6,8,4
-15,0,S,3,3,-2.9,4,1,8
-14.5,0,S,3,4,-2.1,7,6,5
-14,0,S,3,3,-2.6,8,5,4
-13.5,0,S,4,4,-2.9,6,3,1
-13,0,F,3,3,-7.5,8,6,5
-12.5,0,S,3,3,-2.8,1,5,4
-12,0,S,4,4,-3,2,3,7
-11.5,0,S,4,4,-2.7,7,1,3
-11,0,F,1,4,-8.6,3,7,8
-10,0,S,1,1,-2.5,4,3,6
-9.5,0,F,1,1,-8.6,4,7,6
-9,0,F,1,1,-6.2,4,3,6
-8.5,0,S,3,4,-1.9,4,2,5
-8,0,S,3,3,-2.8,2,1,8
-7.5,0,S,3,3,-2.8,8,6,2
-7,0,S,4,4,-3,6,3,1
-6.5,0,S,1,2,-2.7,8,4,5
-6,0,S,1,1,-3.3,4,2,3
-5.5,0,S,1,1,-3.3,3,4,6
-5,0,S,1,1,-3.1,3,4,6
-4.5,0,S,1,3,0.3,4,5,6
-4,0,S,1,1,-3.6,7,6,8
-3.5,0,S,2,2,-2.8,8,4,1
-3,0,F,1,1,-8.3,6,2,7
-2.5,0,F,4,1,-5.6,1,7,8
-2,0,S,1,1,-3.5,3,6,2
-1.5,0,S,2,2,-1.3,1,4,7
-1,0,S,1,2,-3.4,7,8,5
-0.5,0,S,1,2,-3.4,3,4,8
0,0,S,1,3,1.7,5,4,6
0.5,0,S,1,3,2.8,8,6,5
1,0,S,1,1,-3.6,8,6,2
1.5,0,S,1,3,1.5,5,6,2
2,0,F,1,3,-6.2,2,6,5
2.5,0,N,1,3,-10,8,1,7
3,0,N,1,3,-10,2,8,4
3.5,0,S,1,1,-3.2,6,4,3
4,0,S,4,4,-3.1,3,2,1
4.5,0,S,1,2,-3.3,5,4,3
5,0,S,1,1,-3,2,3,6
5.5,0,S,1,2,-2.7,3,5,7
6,0,S,3,3,-1.1,2,6,1
6.5,0,S,1,1,-3.7,3,6,4
7,0,S,1,2,-3.2,4,7,5
7.5,0,S,3,3,0.1,5,2,1
8,0,S,2,2,-2.8,8,1,7
8.5,0,S,1,1,-2.5,7,8,6
9,0,S,4,4,1.5,1,7,2
9.5,0,S,2,2,-0.5,1,7,3
10,0,F,1,1,-5,3,2,8
10.5,0,S,4,4,0,2,5,6
11,0,S,2,2,-3.1,5,1,4
11.5,0,S,1,1,-2.4,6,8,4
12,0,S,1,3,2.5,5,8,6
12.5,0,F,2,3,-6.9,6,3,1
13,0,S,2,2,-3.3,1,7,5
13.5,0,S,2,2,-2.6,1,4,8
14,0,F,2,2,-8,7,3,2
14.5,0,N,2,2,-10,3,4,6
15,0,S,1,2,-2.2,2,3,5
16,0,S,1,2,-2.4,3,4,2
16.5,0,S,1,2,-2.1,7,2,4
17,0,F,1,2,-3.3,7,5,8
17.5,0,F,1,1,-7.1,5,8,2
18,0,F,1,2,-2.7,8,5,2
18.5,0,F,1,2,-8.7,1,6,4
19,0,N,1,2,-10,1,6,3
19.5,0,F,1,2,-9.6,3,8,2
-19.5,0.5,F,1,2,-6.6,6,4,3
-19,0.5,N,1,2,-10,7,2,3
-18.5,0.5,N,1,2,-10,3,5,2
-18,0.5,N,1,2,-10,7,1,8
-17.5,0.5,S,2,2,1,1,7,3
-17,0.5,F,2,2,-7.9,6,4,3
-16.5,0.5,S,4,4,-3,5,7,1
-15.5,0.5,F,3,1,-4.6,6,8,7
-15,0.5,S,4,4,-2.8,5,2,3
-14,0.5,S,3,3,-2.9,1,6,5
-13.5,0.5,S,4,4,-3,6,5,2
-13,0.5,S,4,1,3.9,3,8,7
-12.5,0.5,S,3,2,1.1,8,5,7
-12,0.5,F,4,2,1.7,5,6,3
-11.5,0.5,F,4,2,-8.7,2,3,1
-11,0.5,N,4,2,-10,5,8,4
-10.5,0.5,S,1,3,1.4,5,3,6
-10,0.5,S,4,4,-2.6,3,5,2
-9.5,0.5,S,4,4,-2.3,5,3,1
-9,0.5,S,3,3,-3.1,2,1,6
-8.5,0.5,S,3,3,-2.9,2,5,6
-8,0.5,S,1,1,-2,6,7,8
-7.5,0.5,F,1,1,-8.2,5,2,6
-7,0.5,S,2,1,-0.9,3,6,1
-6.5,0.5,F,3,1,-7.2,1,5,4
-6,0.5,N,3,1,-10,2,1,7
-5.5,0.5,S,1,2,-3.3,8,3,7
-5,0.5,S,4,4,-3.3,6,5,7
-4.5,0.5,S,3,2,8.2,7,8,1
-4,0.5,S,1,1,-3.4,8,3,6
-3.5,0.5,S,1,3,0.4,5,8,6
-3,0.5,S,1,2,-3.1,2,3,5
-2.5,0.5,S,1,1,-3.3,3,4,7
-2,0.5,S,2,2,-3.2,4,8,3
-1.5,0.5,S,4,4,-2,3,5,7
-1,0.5,F,4,4,-6.9,2,3,1
-0.5,0.5,S,1,2,-3.4,8,5,7
0,0.5,S,3,4,-2.6,1,4,7
0.5,0.5,S,1,1,-3.6,2,3,7
1,0.5,F,1,3,-4.2,2,5,6
1.5,0.5,N,1,3,-10,3,5,1
2,0.5,S,1,2,-3.4,8,3,4
2.5,0.5,F,1,2,-7.3,8,1,2
3,0.5,N,1,2,-10,8,6,1
3.5,0.5,S,1,1,-3.3,7,6,2
4,0.5,S,1,1,-3.7,8,7,6
4.5,0.5,S,1,1,-3.5,8,6,7
5,0.5,S,3,3,2.4,5,2,1
5.5,0.5,S,1,2,-3.6,7,2,4
6,0.5,F,1,1,-2.3,2,8,6
6.5,0.5,S,1,1,-3.8,2,8,4
7,0.5,S,1,1,0,2,4,6
7.5,0.5,S,2,4,1.5,6,5,4
8,0.5,S,1,3,7.6,2,6,5
8.5,0.5,S,1,1,-3,2,3,7
9,0.5,S,2,2,-2.1,1,5,7
9.5,0.5,S,1,2,1.5,3,7,5
10,0.5,S,1,2,2.6,4,2,5
10.5,0.5,F,1,2,1.5,1,2,4
11,0.5,S,1,4,-0.8,2,6,5
11.5,0.5,S,2,2,-1.9,5,1,3
12,0.5,S,2,1,-1.4,8,1,6
12.5,0.5,F,2,1,-9.1,1,8,4
13,0.5,S,1,1,-2.3,2,7,4
13.5,0.5,F,1,1,-8.7,6,2,7
14,0.5,S,1,1,-2.8,8,6,2
14.5,0.5,S,1,1,-2.3,2,6,8
15,0.5,F,2,1,-8.5,1,4,5
15.5,0.5,N,2,1,-10,7,3,5
16,0.5,F,1,1,-4.1,3,2,8
16.5,0.5,F,1,1,-8.8,3,5,1
17,0.5,S,1,2,-1.6,4,5,7
17.5,0.5,S,1,2,-0.9,7,2,5
18,0.5,S,1,2,-1.7,7,2,5
18.5,0.5,S,1,1,-2.8,2,8,4
19,0.5,S,1,2,-2,4,5,7
19.5,0.5,F,1,2,-9.9,4,6,7
-19.5,1,S,1,1,0.5,3,7,8
-19,1,F,3,1,-7.3,4,7,8
-18.5,1,F,3,1,-7.9,5,8,6
-18,1,F,3,1,-8.2,3,6,1
-17.5,1,S,4,4,-2.1,3,2,7
-17,1,F,3,4,-6.6,7,5,2
-16.5,1,N,3,4,-10,5,3,7
-16,1,N,3,4,-10,4,1,5
-15.5,1,F,3,4,-7.6,7,6,5
-15,1,F,3,4,-8.4,8,2,1
-14.5,1,F,3,4,-8.4,6,8,2
-14,1,N,3,4,-10,6,4,8
-13.5,1,S,3,3,-2.7,2,5,6
-13,1,F,3,3,-8.3,1,8,7
-12.5,1,N,3,3,-10,4,5,8
-12,1,N,3,3,-10,7,8,6
-11.5,1,S,1,2,-2.1,4,3,2
-11,1,F,4,2,-5.3,5,7,8
-10.5,1,S,3,3,-2,4,6,2
-10,1,S,1,1,-3.1,7,3,8
-9.5,1,S,4,4,-3.1,2,6,1
-9,1,F,1,1,-7.9,4,6,8
-8.5,1,F,1,1,1.5,4,3,6
-8,1,S,2,2,-1.8,3,1,7
-7.5,1,S,4,4,-2.4,3,7,5
-7,1,S,4,3,-2.5,8,3,2
-6.5,1,S,1,2,-2.8,8,3,5
-6,1,S,4,4,-2.8,3,6,7
-5.5,1,S,4,3,-1.3,8,3,1
-5,1,S,3,4,-2.6,7,1,6
-4.5,1,S,1,1,-3.3,4,7,6
-4,1,S,1,2,-3.3,5,2,8
-3.5,1,F,1,1,-6.4,7,8,3
-3,1,S,1,2,-3.1,3,2,5
-2.5,1,S,1,2,-3.4,4,7,5
-2,1,S,4,4,-3.3,1,5,7
-1.5,1,F,1,4,-5.9,7,6,5
-1,1,S,1,2,-3.4,4,7,5
-0.5,1,S,1,1,-3.5,6,8,7
0,1,F,1,1,-9.2,1,5,6
0.5,1,S,1,1,-3.3,8,2,7
1,1,S,1,1,-3.1,4,8,7
1.5,1,S,1,2,-3.3,3,5,7
2,1,S,1,2,-3.5,5,7,2
2.5,1,F,1,2,-5.4,7,2,5
3,1,S,1,1,-3.3,8,3,6
3.5,1,S,1,1,-3.3,8,4,7
4,1,S,3,3,3.4,1,8,2
4.5,1,S,1,4,7.2,7,6,5
5,1,S,2,2,-3,4,1,8
5.5,1,S,1,1,-3.7,3,4,2
6,1,S,1,1,-3.5,6,3,2
6.5,1,S,2,1,-1.8,1,6,7
7.5,1,S,3,3,3.2,8,5,1
8,1,S,1,4,-0.9,5,2,6
8.5,1,S,1,1,-3.4,7,8,3
9,1,F,1,1,-8.5,7,5,8
9.5,1,S,1,2,-2.9,2,3,8
10,1,S,1,1,-3.1,4,2,6
10.5,1,F,1,1,-7.3,1,3,2
11,1,F,2,1,8.5,6,1,5
11.5,1,S,1,1,-3.4,6,3,8
12,1,S,2,2,-1.8,5,1,4
12.5,1,F,2,2,-7,1,2,7
13,1,S,1,1,-2.2,7,4,3
13.5,1,S,2,1,0.4,4,6,1
14,1,S,1,4,0.1,7,6,5
14.5,1,S,4,4,0.5,3,2,1
15,1,S,1,1,-2.7,4,8,6
15.5,1,S,1,1,0.1,7,4,3
16,1,S,1,1,-1.5,6,4,3
16.5,1,S,2,1,0.2,6,1,7
17,1,S,4,4,-2.6,6,2,1
17.5,1,S,2,2,-2.8,5,4,1
18,1,S,1,1,-2.9,7,8,3
18.5,1,F,1,1,1.7,1,2,3
19,1,F,3,1,-7.7,7,6,2
19.5,1,S,1,2,-1.7,4,7,3
-19.5,1.5,F,1,2,-8.3,3,7,2
-19,1.5,N,1,2,-10,8,3,5
-18.5,1.5,F,1,2,-8.4,5,3,1
-18,1.5,N,1,2,-10,2,7,3
-17.5,1.5,N,1,2,-10,3,2,6
-17,1.5,S,1,2,1.5,7,3,4
-16.5,1.5,S,4,4,-3,1,6,3
-16,1.5,S,3,3,-1.6,8,2,4
-15.5,1.5,S,3,4,-2.6,6,4,1
-15,1.5,S,3,3,-2.2,5,6,2
-14.5,1.5,S,3,3,-0.6,4,1,8
-14,1.5,F,4,3,5.8,8,7,5
-13.5,1.5,S,4,3,-2.8,8,3,5
-13,1.5,F,3,3,-6.2,7,4,8
-12.5,1.5,S,1,2,-2.9,2,5,4
-12,1.5,S,4,4,-2.9,5,2,1
-11.5,1.5,F,4,4,-7.2,6,3,4
-11,1.5,N,4,4,-10,7,3,4
-10.5,1.5,N,4,4,-10,6,7,1
-10,1.5,S,3,4,-1.7,7,5,1
-9.5,1.5,F,3,4,-6.1,4,7,6
-9,1.5,F,3,4,-7.2,1,4,3
-8.5,1.5,S,3,3,-1,8,2,1
-8,1.5,S,3,3,-0.3,2,5,8
-7.5,1.5,S,1,1,-3.5,4,2,7
-7,1.5,S,3,3,-2.6,5,2,1
-6.5,1.5,S,2,2,-1.6,5,8,1
-6,1.5,S,1,1,-3.5,2,6,8
-5.5,1.5,F,1,1,-8.8,7,5,2
-5,1.5,N,1,1,-10,2,1,8
-4.5,1.5,F,1,1,-7.9,7,3,5
-4,1.5,F,1,1,-8.9,3,5,6
-3.5,1.5,F,1,1,-6.7,4,6,5
-3,1.5,S,1,2,-3.3,8,5,4
-2.5,1.5,S,2,2,-3.7,5,3,1
-2,1.5,S,1,1,-3.2,3,8,4
-1.5,1.5,S,1,3,2.3,2,6,5
-1,1.5,S,2,2,-2.9,1,3,4
-0.5,1.5,S,1,2,-2.2,7,3,5
0,1.5,S,1,2,-3.3,7,4,2
0.5,1.5,S,3,4,-2.5,1,7,4
1,1.5,S,1,2,-3.4,7,8,5
1.5,1.5,S,1,1,-3.7,3,4,7
2,1.5,F,2,1,-9.2,1,7,3
2.5,1.5,N,2,1,-10,7,4,6
3,1.5,S,1,1,-3.7,6,2,4
3.5,1.5,S,1,1,-3.5,2,6,3
4,1.5,S,1,1,-3.6,6,3,7
4.5,1.5,S,2,2,-3.5,4,1,7
5,1.5,S,1,2,-3.5,2,4,5
5.5,1.5,F,2,2,-6.4,1,3,5
6,1.5,S,1,1,-3.6,2,8,3
6.5,1.5,S,1,1,-3.9,7,4,8
7,1.5,S,1,3,0.4,5,6,2
7.5,1.5,S,1,1,-3.9,8,7,4
8,1.5,F,1,1,-6.2,3,1,8
8.5,1.5,N,1,1,-10,5,4,8
9,1.5,N,1,1,-10,3,8,4
9.5,1.5,F,1,1,-3.9,4,1,2
10,1.5,N,1,1,-10,5,8,4
10.5,1.5,N,1,1,-10,2,6,7
11,1.5,S,1,1,-3.1,7,8,2
11.5,1.5,S,1,2,-2.2,3,5,4
12,1.5,S,1,2,-2,4,3,5
12.5,1.5,F,1,2,-4,3,6,5
13,1.5,N,1,2,-10,6,3,7
13.5,1.5,F,1,2,-4.4,7,1,2
14,1.5,S,1,1,-2.6,2,4,7
14.5,1.5,S,1,2,-1.5,2,3,5
15,1.5,S,1,2,-2.5,4,5,7
15.5,1.5,S,2,2,-3.2,7,4,1
16,1.5,F,2,2,-8.3,6,5,3
16.5,1.5,N,2,2,-10,7,1,5
17,1.5,N,2,2,-10,1,8,6
17.5,1.5,F,1,1,-3,7,6,8
18,1.5,S,1,2,-0.8,3,5,8
18.5,1.5,S,1,1,-2.4,6,3,4
19,1.5,S,4,4,3,3,2,7
19.5,1.5,F,4,4,-10,2,8,6
-19.5,2,F,4,4,-9.9,3,2,5
-19,2,F,4,4,1,3,8,2
-18.5,2,N,4,4,-10,8,6,3
-18,2,F,3,3,-6.7,7,6,2
-17.5,2,F,3,3,-7.3,5,4,6
-17,2,S,4,1,5.6,8,3,1
-16.5,2,F,3,1,-8.2,1,4,7
-16,2,S,2,2,-1,1,5,4
-15.5,2,F,2,2,-8.2,7,6,8
-15,2,S,3,4,-2.2,7,2,6
-14.5,2,F,3,4,-8.5,8,2,3
-14,2,N,3,4,-10,4,8,5
-13.5,2,S,4,4,-2.1,5,3,6
-13,2,S,3,1,-1.1,8,7,2
-12.5,2,S,1,1,-2.9,4,7,6
-12,2,S,3,3,-2.2,2,4,1
-11.5,2,S,4,4,-2.4,2,6,3
-11,2,F,1,2,-4.2,5,4,2
-10.5,2,S,1,1,-3.2,2,7,4
-10,2,S,1,1,-2.9,3,6,8
-9.5,2,S,1,2,-3.2,2,5,4
-9,2,S,1,1,-3.4,2,4,3
-8.5,2,S,1,2,-2.3,3,5,2
-8,2,S,1,2,-2.4,3,5,2
-7.5,2,S,2,2,-0.6,1,5,4
-7,2,S,1,1,-3.3,4,6,2
-6.5,2,F,4,1,-8.7,1,3,6
-6,2,S,1,1,-3.6,8,6,7
-5.5,2,S,1,1,-3.6,4,2,3
-5,2,S,1,2,-3.4,2,5,7
-4.5,2,S,2,2,-1.5,3,4,1
-4,2,S,1,3,-0.8,2,6,5
-3.5,2,S,1,1,-3.4,2,3,4
-3,2,S,2,3,7.4,6,1,8
-2.5,2,S,2,2,-1,8,5,1
-2,2,F,2,2,-8.7,3,1,4
-1.5,2,F,1,2,-7.7,5,3,6
-1,2,N,1,2,-10,7,2,4
-0.5,2,N,1,2,-10,7,3,1
0,2,S,1,1,-3.7,8,2,3
0.5,2,S,2,2,-1.2,5,1,8
1,2,S,1,2,-2.9,3,5,4
1.5,2,F,1,2,-7.6,1,3,7
2,2,F,1,2,-8.1,1,8,4
2.5,2,N,1,2,-10,3,1,7
3,2,S,2,2,-1.2,3,7,1
3.5,2,S,1,1,-3.6,2,8,6
4,2,S,1,2,-2.8,7,5,2
4.5,2,S,1,1,-3.5,4,7,2
5,2,S,2,2,0,1,3,8
5.5,2,S,2,2,-3.4,5,3,1
6,2,S,1,2,-3.6,7,5,2
6.5,2,S,1,2,-3.5,4,5,8
7,2,S,1,3,5.9,5,6,8
7.5,2,F,1,3,-4.5,4,1,2
8,2,F,1,3,-8,5,3,6
8.5,2,S,1,2,-3.5,5,2,4
9,2,S,1,2,-3.7,4,5,7
9.5,2,S,1,2,-2.5,2,4,5
10,2,S,1,1,-2.7,3,7,8
10.5,2,S,1,1,-3.1,6,3,8
11,2,S,3,3,0.8,1,4,2
11.5,2,S,2,2,-1.3,5,1,4
12,2,F,2,2,-9,8,3,5
12.5,2,S,2,2,-3.4,1,8,3
13,2,S,3,3,-1.3,8,2,1
13.5,2,S,1,4,7.9,6,7,5
14,2,S,2,2,-2.4,1,3,5
14.5,2,F,1,2,-7.9,4,6,7
15,2,N,1,2,-10,5,8,3
15.5,2,N,1,2,-10,7,8,1
16,2,S,3,4,-1.4,4,1,7
16.5,2,S,1,1,-1.8,6,2,8
17,2,S,1,2,-2.6,8,7,4
17.5,2,F,1,2,-4.9,5,7,8
18,2,N,1,2,-10,6,2,8
18.5,2,F,1,2,-8,7,5,8
19,2,S,3,4,0.9,4,1,7
19.5,2,S,1,1,-0.2,3,6,2
-19.5,2.5,F,1,1,-10,7,8,3
-19,2.5,S,4,4,-2.6,3,1,6
-18.5,2.5,F,4,4,-8.2,8,6,5
-18,2.5,S,1,1,-2.1,4,3,7
-17.5,2.5,S,3,3,-1.7,2,5,4
-17,2.5,S,4,4,-2.7,5,1,3
-16.5,2.5,S,3,3,-2.5,5,8,6
-16,2.5,S,4,4,-3.1,6,7,5
-15.5,2.5,S,3,3,-2.2,4,6,5
-15,2.5,F,3,3,-8.7,5,1,7
-14.5,2.5,N,3,3,-10,6,7,1
-14,2.5,S,3,3,-2.9,2,5,8
-13.5,2.5,F,3,3,-8.7,6,5,7
-13,2.5,N,3,3,-10,6,5,2
-12.5,2.5,S,4,4,0.4,2,1,3
-12,2.5,F,4,4,1.6,2,1,5
-11.5,2.5,S,3,4,-0.7,2,4,6
-11,2.5,S,2,2,-1.5,1,5,3
-10.5,2.5,S,2,2,-2.6,3,1,4
-10,2.5,S,2,3,6.6,5,1,6
-9.5,2.5,S,2,2,-1.9,5,1,8
-9,2.5,S,4,1,5.7,3,7,8
-8.5,2.5,S,2,2,1.1,8,7,3
-8,2.5,S,2,2,-1.7,7,1,8
-7.5,2.5,S,1,1,-3.4,4,3,2
-7,2.5,F,3,1,-4.8,8,1,7
-6.5,2.5,N,3,1,-10,4,3,1
-6,2.5,S,1,1,-3.2,4,8,7
-5.5,2.5,F,1,1,-6.5,2,7,3
-5,2.5,S,2,2,-2.5,1,3,6
-4.5,2.5,S,2,2,-1.9,1,7,5
-4,2.5,S,2,2,-3.6,3,8,1
-3.5,2.5,S,1,3,1.8,4,6,5
-3,2.5,S,1,1,-3.5,6,4,8
-2.5,2.5,S,1,2,-3.1,7,4,5
-2,2.5,S,1,1,-3.6,8,2,3
-1.5,2.5,S,2,2,-3.3,1,7,5
-1,2.5,S,3,3,-1.2,6,8,1
-0.5,2.5,S,1,1,-3.4,4,2,6
0,2.5,S,1,1,-3.7,8,7,3
0.5,2.5,F,2,2,-4.1,8,1,5
1,2.5,S,1,1,-3.4,6,3,7
1.5,2.5,F,3,1,-7.5,7,1,6
2,2.5,N,3,1,-10,7,2,3
2.5,2.5,S,1,2,-3.3,5,7,3
3,2.5,S,1,1,-3.6,6,7,2
3.5,2.5,F,2,2,-3.2,4,3,1
4,2.5,F,1,1,-7.8,7,2,6
5,2.5,S,1,1,-3.8,6,8,7
5.5,2.5,S,1,1,-3.7,8,3,7
6,2.5,S,1,1,-3.7,2,3,7
6.5,2.5,S,1,1,-3.9,6,8,7
7,2.5,S,1,1,-3.9,2,8,7
7.5,2.5,S,1,2,-3.5,3,7,5
8,2.5,F,2,1,-8.1,6,7,1
8.5,2.5,S,1,2,-3.3,8,2,3
9,2.5,S,1,1,-3.2,3,7,6
9.5,2.5,S,1,2,-3.6,3,5,8
10,2.5,S,1,1,-2.8,3,6,8
