X,Z,Success?,ReachStair_Floor1,ReachStair_Floor2,Water_height
-18.6661071777344,-6.91352462768555,-1,0,0,-10
-15.7951240539551,8.63761520385742,-1,0,0,-10
-15.6609878540039,-14.4808654785156,-1,0,0,-10
-19.4264144897461,-8.12221527099609,-1,0,0,-10
14.4936370849609,-8.54928779602051,-1,0,0,-10
16.6076354980469,9.1711597442627,-1,0,0,-10
18.7308578491211,-5.05705451965332,-1,0,0,-10
-16.6603202819824,-13.7745685577393,-1,0,0,-10
-15.1089782714844,-4.75286340713501,-1,0,0,-10
19.0620574951172,-1.56872987747192,0,0,0,-8.729971
-9.78555679321289,7.09334945678711,-1,0,0,-10
-6.888099193573,8.06152629852295,-1,0,0,-10
11.5691194534302,-12.6879806518555,-1,0,0,-10
8.13876724243164,0.181414604187012,0,2,1,-6.549921
-8.81229400634766,12.260440826416,1,2,2,-4.049864
2.80875587463379,9.48429679870605,1,2,2,-3.399863
2.55447006225586,3.23549699783325,1,2,2,-3.379864
-8.83619117736816,-4.4284553527832,1,3,4,-3.199864
-5.38635873794556,-14.1923217773438,0,0,0,-9.469988
8.85306453704834,-7.40225601196289,-1,0,0,-10
-18.6633567810059,2.04575347900391,-1,0,0,-10
-13.0398778915405,3.24501419067383,-1,0,0,-10
4.84155130386353,-6.23519659042358,1,2,2,-3.069864
11.9953870773315,-0.655970573425293,1,2,2,-3.069864
-16.5152244567871,-12.9990577697754,-1,0,0,-10
-0.0510406494140625,0.640081405639648,-1,0,0,-10
13.4029722213745,9.28865814208984,-1,0,0,-10
4.75243186950684,11.2743988037109,1,2,2,-2.919864
-9.34676742553711,-6.14427900314331,1,3,4,-2.999864
17.0744895935059,0.0644140243530273,1,2,2,-2.729864
-11.7673091888428,-14.1724529266357,-1,0,0,-10
2.10153579711914,10.836049079895,1,2,2,-2.869864
-10.3826942443848,0.389223098754883,1,3,4,-2.439864
6.05804824829102,-7.42884063720703,0,0,0,-9.159981
-16.9644393920898,4.16278076171875,0,0,0,-1.549865
5.74301242828369,-6.31157684326172,0,0,0,-9.059978
-4.37152099609375,-3.71711921691895,-1,0,0,-10
-19.416088104248,1.43552875518799,0,0,0,-9.98
